연번,시설명,위치,규모,홀수,운영기관,연락처,latitude,longitude,지역
1,"고금파크골프장","전라남도 완도군 고금면 농산리 759-1","-","9","완도군","",34.2676,126.77,"전남"
2,"곡성동악파크골프장","전라남도 곡성군 죽동리 체육공원내","-","18","곡성군","",35.2818,127.2913,"전남"
3,"광양시파크골프장","전라남도 광양시 강변동길 216","","18","","",34.9638119718862,127.598760737452,"전남"
4,"구례군파크골프장","전라남도 구례군 서시천로 106","-","9","구례군","",35.2026,127.463,"전남"
5,"남악파크골프장","전라남도 무안군 심향읍 남악리 2597","-","18","무안군","",34.9123,126.4567,"전남"
6,"남해파크골프장","전라남도 목포시 연산동 864","-","9","목포시","",34.7934,126.3789,"전남"
7,"담양제1파크골프장","전라남도 담양군 담양읍 양각샛길 207","","36","","",35.32430939506247,126.99358637920344,"전남"
8,"담양제2파크골프장","전라남도 담양군 담양읍 양각리 348","","18","","",35.3190826647546,126.978611139208,"전남"
9,"무안파크골프장","전라남도 무안군 무안읍 성동리 1086-3","-","18","무안군","",34.9906,126.4818,"전남"
10,"보성미니파크골프장","전라남도 보성군 보성읍 용문길 36-16","-","9","보성군","",34.7712,127.0804,"전남"
11,"복내파크골프장","전라남도 보성군 복내리 536-16","-","18","보성군","",34.7712,127.0804,"전남"
12,"부주산국제파크골프장","전라남도 목포시 부주로 159","-","27","목포시","",34.8143,126.3845,"전남"
13,"북항파크골프장","전라남도 목포시 북항 하수종말처리장","-","9","목포시","",34.7934,126.3789,"전남"
14,"불갑파크골프장","전라남도 영광군 불갑면 방마리","-","18","영광군","",35.2789,126.4123,"전남"
15,"삼학도파크골프장","전라남도 목포시 산정동 삼하도","-","9","목포시","",34.7812,126.4123,"전남"
16,"삼호대불파크골프장","전라남도 영암군 삼호읍 종합공원길 11","-","36","영암군","",34.8007,126.6965,"전남"
17,"상동파크골프장","전라남도 목포시 상동 연동건널목 석현동 산거리","-","9","목포시","",34.8118,126.3922,"전남"
18,"서면파크골프장","전라남도 순천시 서면 강청리 828","30623㎡","9","","033-250-3502",37.8813,127.7298,"전남"
19,"서해파크골프장","전라남도 목포시 연산동","-","9","목포시","",34.7934,126.3789,"전남"
20,"송월동파크골프장","전라남도 나주시 성북동 100","-","9","나주시","",35.0149,126.7239,"전남"
21,"시종마한파크골프장","전라남도 영암군 시종면 남해당로 65","-","18","영암군","",34.8434,126.6234,"전남"
22,"실내체육관파크골프장","전라남도 목포시 상동 349-1","7,700㎡","9","한강사업 본부","",37.5275,126.9326
23,"영산포체육공원파크골프장","전라남도 나주시 삼영동 131-1","-","18","나주시","",35.0149,126.7239,"전남"
24,"영암파크골프장","전라남도 영암군 영암읍 영운재로 272","-","18","영암군","",34.8007,126.6965,"전남"
25,"오곡파크골프장","전라남도 곡성군 오곡천변내","-","9","곡성군","",35.2345,127.3123,"전남"
26,"운림삼별초파크골프장","전라남도 진도군 의신면 사천길 15-21","-","18","진도군","",34.4867,126.2639,"전남"
27,"장성군 A파크골프장","전라남도 장성군 황룡면 월평리 590-1","-","9","장성군","",35.3013,126.7864,"전남"
28,"장성군 B파크골프장","전라남도 장성군 황룡면 신호리 53-1","-","9","장성군","",35.3013,126.7864,"전남"
29,"장흥파크골프장","전라남도 장흥군 관산읍 옥당리 535-16","","9","","",34.566090951304,126.934890748291,"전남"
30,"한빛원자력파크골프장","전라남도 영광군 홍농읍 성산리 494","-","36","영광군","",35.4141,126.5042,"전남"
31,"함평군파크골프장","전라남도 함평군 함평읍 곤재로 83","-","36","함평군","",35.0661,126.5168,"전남"
32,"해남파크골프장)","전라남도 해남군 삼산면 봉학리 154-7","","18","","",34.525743889086,126.552011010823,"전남"
33,"혁신도시파크골프장","전라남도 나주시 빛가람동 4-346","-","9","나주시","",35.028,126.8021,"전남"
34,"가곡파크골프장","경상남도 밀양시 가곡동 743-2","","18","","",35.4754554123998,128.76119232074,"경남"
35,"가산수변공원 파크골프장","경상남도 양산시 동면 가산리807","","36","","",35.2961861503116,129.018260500838,"경남"
36,"가산파크골프장","경상북도 칠곡군 가산면 송학리 268","","9","","",36.1031902722817,128.518920539834,"경북"
37,"가야곡파크골프장","충청남도 논산시 가야곡면 덕은로 365","","9","","",36.1577832633842,127.183110875688,"충남"
38,"가조파크골프장","경상남도 거창군 가조면 일부리 1121-1","17159㎡","9","경상남도 거창군 가조면사무소","055-940-7812",35.70178082,128.0210598,"경남"
39,"가창파크골프장","대구광역시 달성군 가창면 옥분리 788-1","","18","","",35.91757638759406,128.6440988827736,"대구"
40,"가평파크골프장","경기도 가평군 청평면 대성리 388-13","","36","","",37.6920349592208,127.383987116843,"경기"
41,"가포체육공원 파크골프장","경상남도 창원시 마산합포구 가포신항남로 37","","9","","",35.1627218984985,128.577361853048,"경남"
42,"각북파크골프장","경상북도 청도군 각북면 낙산1길 산들팬션앞","","18","청도군","",35.6234,128.7123,"경북"
43,"간현파크골프장","강원특별자치도 원주시 지정면 간현리 1116-36번지","5000㎡","18","","033-737-2874",37.3067,127.8923,"강원"
44,"강경파크골프장","충청남도 논산시 강경읍 금백로 45","","27","","",36.157556249242,127.009806298967,"충남"
45,"강남파크골프장","경상북도 안동시 정상동 779","","36","안동시","",36.5734,128.7345,"경북"
46,"강릉파크골프장","강원특별자치도 강릉시 입암동 572-3","13125㎡","18","","033-640-5963",37.7519,128.8756,"강원"
47,"강변파크골프장","경상남도 거창군 거창읍 대평리 강변","대구광역시 북구 서변동 1506번지","9","18홀","대구광역시 도시관리본부 체육시설관리부",35.454439157392514,128.200844164506,"경남"
48,"강변파크골프장","경상남도 거창군 거창읍 대평리 강변","대구광역시 북구 서변동 1506번지","9","18홀","대구광역시 도시관리본부 체육시설관리부",35.454439157392514,128.200844164506,"경남"
49,"강변파크골프장","경상남도 거창군 거창읍 대평리 강변","대구광역시 북구 서변동 1506번지","9","18홀","대구광역시 도시관리본부 체육시설관리부",35.454439157392514,128.200844164506,"경남"
50,"강창파크골프장","대구광역시 달성군 다사읍 매곡리 91","","18","","",35.8570145544397,128.47150607506,"대구"
51,"강창학파크골프장","제주특별자치도 서귀포시 강정동 1353","","18","","",33.2573164351763,126.499685223312,"제주"
52,"거제파크골프장","경상남도 거제시 거제면 스포츠파크 내","","27","","",35.458876063014294,128.20568541924482,"경남"
53,"거창군 파크골프장","경상남도 거창군 거창읍 심소정길 39-36","","36","","",35.6951358075642,127.926350536293,"경남"
54,"거창파크골프장(제4구장)","경상남도 거창군 거창읍 심소정길 강변","","9","","",35.45959229054481,128.21267238370854,"경남"
55,"건천파크골프장","경상북도 경주시 건천읍 천포리 1112번지","","9","","",36.48934459061278,128.88002422626363,"경북"
56,"경산파크골프장","경상북도 경산시 강변동로 369","","18","경산시","",35.8253,128.7417,"경북"
57,"경주파크골프장","경상북도 경주시 석장동1169-1","","18","경주시시설관리공단","",35.8423,129.2345,"경북"
58,"계룡시파크골프장","충청남도 계룡시 신도안면 정장리 6","","36","","",36.3017172173862,127.237580065978,"충남"
59,"계평파크골프장","경상북도 안동시 계평리 717","","27","","",36.5505793667526,128.662903571742,"경북"
60,"고로파크골프장","대구광역시 군위군 삼국유사면 석산리 560","","18","","",36.1740785811243,128.853361269607,"대구"
61,"고산파크골프장","전북특별자치도 완주군 고산면 읍내리 902 고산체육공원 내","6,650㎡","18","완주군","",35.7234,127.1456
62,"고성군파크골프장","강원특별자치도 고성군 토성면 도원리 115-27","31935㎡","18","","033-680-3715",38.4553,128.4673,"강원"
63,"고아파크골프장","경상북도 구미시 고아읍 예강리 695-1","","36","","",36.203020796712,128.357176968179,"경북"
64,"고전파크골프장","경상남도 하동군 고전면 전도리 882-3","","18","","",34.9972706835475,127.78454228873,"경남"
65,"고창파크골프장","전북특별자치도 고창군 고창읍 월암리 407-2 (고창스포츠타운내)","","18","","",35.4294268706453,126.725709391581,"전북"
66,"곡강천파크골프장","경상북도 포항시 남구 효곡동","","36","포항시시설관리공단","",36.0456,129.4123,"경북"
67,"곡교천파크골프장","충청남도 아산시 권곡동 331-1","","18","","",36.7969631860295,127.012694320652,"충남"
68,"곰나루파크골프장","충청남도 공주시 웅진동 722","","36","","",36.4600111371828,127.099777480168,"충남"
69,"공촌유수지파크골프장","인천광역시 서구 첨단서로 130 공촌유수지체육시설","22500","18","인천시설공단","032-473-8307",37.5234,126.6234,"인천"
70,"과학관공원 파크골프장","대구광역시 달성군 유가읍 상리 916-1","","9","","",35.6868460660464,128.458932730252,"대구"
71,"관악 파크골프장","서울특별시 관악구 신림동 산108-10","","9","","",37.4671979095451,126.917928080731,"서울"
72,"광산구 서봉파크골프장","광주광역시 광산구 서봉동 205-6","60587㎡","36","광산구","062-960-9927",35.1678,126.7834,"광주"
73,"광석골파크골프장","경상남도 창원시 진해구 장천동 765번지","","6","","",35.129839842183,128.711049846189,"경남"
74,"광주시파크골프장","경기도 광주시 경안동 청석공원 내 파크골프장","","18","","",35.194749039590015,126.81203099480778,"경기"
75,"괴산파크골프장","충청북도 괴산군 괴산읍 임꺽정로222","","18","","",36.8194052782337,127.772469295536,"충북"
76,"구리시파크골프장","경기도 구리시 수택동 왕숙천 구리시환경사무소","","9","","",37.39172465115866,127.47318191038153,"경기"
