연번,시설명,위치,규모,홀수,운영기관,연락처,latitude,longitude
1,서면파크골프장,강원특별자치도 춘천시 서면 박사로 800,30623㎡,18홀,,033-250-3502,37.8813,127.7298
2,소양강파크골프장,강원특별자치도 춘천시 동면 장학리 459-11,66578㎡,36홀,,033-250-3502,37.8956,127.7456
3,학성파크골프장,강원특별자치도 원주시 학성동 36번지,13000㎡,18홀,,033-737-2874,37.3422,127.9202
4,태장파크골프장,강원특별자치도 원주시 태장동 1346-103번지,5000㎡,18홀,,033-737-2874,37.3534,127.9345
5,취병파크골프장,강원특별자치도 원주시 문막읍 취병리 438-37번지,21000㎡,18홀,,033-737-2874,37.2987,127.8756
6,문막파크골프장,강원특별자치도 원주시 문막읍 문막리 1071-17번지,21000㎡,18홀,,033-737-2874,37.2945,127.8834
7,행구수변공원파크골프장,강원특별자치도 원주시 행구동 1029번지,10000㎡,9홀,,033-737-2874,37.3234,127.9123
8,간현파크골프장,강원특별자치도 원주시 간현리 1116-36번지,5000㎡,18홀,,033-737-2874,37.3067,127.8923
9,주문진 파크골프장,강원특별자치도 강릉시 주문진읍 교항리 103-9,8180㎡,9홀,,033-640-5963,37.8956,128.8234
10,강릉파크골프장,강원특별자치도 강릉시 입암동 606-3,13125㎡,18홀,,033-640-5963,37.7519,128.8756
11,사천체육공원 파크골프장,강원특별자치도 강릉시 사천면 석교리 1028-1,12044㎡,18홀,,033-640-5963,37.7234,128.8345
12,무릉파크골프장,강원특별자치도 동해시 삼화로 163-10(삼화동),29000㎡,27홀,,033-530-2347,37.5244,129.1144
13,전천파크골프장,강원특별자치도 동해시 나안동 220,5000㎡,9홀,,033-530-2347,37.5123,129.1234
14,스포츠파크 파크골프장,강원특별자치도 태백시 백두대간로 179,18000㎡,18홀,,033-550-2192,37.1640,128.9856
15,백산파크골프장,강원특별자치도 태백시 백산동 119-8,6215㎡,9홀,,033-550-2192,37.1734,128.9934
16,속초 파크골프장,강원특별자치도 속초시 노학동 1000-340번지,15178㎡,18홀,,033-639-1565,38.2070,128.5918
17,미로파크골프장,강원특별자치도 삼척시 무사리 산62-10번지,23009㎡,27홀,,033-570-3819,37.4493,129.1658
18,홍천 강변 파크골프장,강원특별자치도 홍천군 홍천읍 갈마곡리 266-1,12933㎡,18홀,,033-430-2441,37.6971,127.8886
19,내면 광원리 파크골프장,강원특별자치도 홍천군 내면 광원리 1656,15000㎡,18홀,,033-430-2441,37.7234,127.9123
20,전천 파크골프장,강원특별자치도 횡성군 횡성읍 읍상리 577-1,14259㎡,18홀,,033-340-5962,37.4919,127.9886
21,명품 파크골프장,강원특별자치도 횡성군 횡성읍 정암리 514-16,14395㎡,18홀,,033-340-5962,37.4856,127.9756
22,청일 파크골프장,강원특별자치도 횡성군 청일면 유평리 613-1,13310㎡,18홀,,033-340-5962,37.4567,127.9234
23,둔내(둔방) 파크골프장,강원특별자치도 횡성군 둔내면 둔방내리 563-3,7822㎡,9홀,,033-340-5962,37.4234,128.0123
24,둔내(우용) 파크골프장,강원특별자치도 횡성군 둔내면 우용리 649-25,8910㎡,9홀,,033-340-5962,37.4345,128.0234
25,영월군 파크골프장,강원특별자치도 영월군 영월읍 하송리 81-74번지일원,9041㎡,9홀,,033-370-2978,37.1836,128.4617
26,평창파크골프장,강원특별자치도 평창군 평창읍 종부리 965,12789㎡,18홀,,033-330-2161,37.3701,128.3896
27,대화파크골프장,강원특별자치도 평창군 대화면 대화리 734-5,20501㎡,18홀,,033-330-2161,37.4123,128.4234
28,용평파크골프장,강원특별자치도 평창군 용평면 장평리 649,9700㎡,9홀,,033-330-2161,37.6378,128.6789
29,봉평파크골프장,강원특별자치도 평창군 봉평면 덕거리 952,15887㎡,18홀,,033-330-2161,37.6234,128.3456
30,녹송파크골프장,강원특별자치도 정선군 정선읍 봉양리 37-3,15121㎡,18홀,,033-560-2950,37.3801,128.6608
31,북평파크골프장,강원특별자치도 정선군 북평면 북평리 149-1,25646㎡,18홀,,033-560-2950,37.3456,128.6234
32,철원파크골프장,강원특별자치도 철원군 갈말읍 군탄리 1084,20916㎡,18홀,,033-450-5292,38.1469,127.3129
33,산천어 파크골프장,강원특별자치도 화천군 하남면 춘화로 3061-17,82104㎡,36홀,,033-441-0797,38.1065,127.7086
34,생활체육공원 파크골프장,강원특별자치도 화천군 하남면 춘화로 3225-56,28955㎡,18홀,,033-441-0797,38.1123,127.7156
35,한반도섬 파크골프장,강원특별자치도 양구군 양구읍 동수리 334-17,26000㎡,36홀,,033-480-7163,38.1096,127.9895
36,방산면 파크골프장,강원특별자치도 양구군 방산면 현리 147-1,7000㎡,9홀,,033-480-7163,38.2234,127.9567
37,인제(살구미) 파크골프장,강원특별자치도 인제군 인제읍 남북리 460-3번지 일원,11894㎡,18홀,,033-460-4357,38.0696,128.1708
38,인제(살구미) 파크골프장 보조경기장,강원특별자치도 인제군 인제읍 살구미길 36,5118㎡,9홀,,033-460-4357,38.0723,128.1756
39,고성 파크골프장,강원특별자치도 고성군 토성면 도원리 115-27,31935㎡,18홀,,033-680-3715,38.4553,128.4673
40,남대천파크골프장,강원특별자치도 양양군 양양읍 송암리 540,74063㎡,54홀,,033-670-2606,38.0750,128.6190
