연번,시설명,위치,규모,홀수,운영기관,연락처,latitude,longitude
1,지곡파크골프장,경상북도 포항시 남구 지곡로212번길 11 일원,,18홀,포항시,,35.9928,129.3678
2,곡강파크골프장,경상북도 포항시 북구 흥해읍 용전리 965,,36홀,포항시시설관리공단,,36.0456,129.4123
3,형산강파크골프장,경상북도 포항시 남구 해도동 130-1번지 일원,,36홀,포항시시설관리공단,,35.9845,129.3567
4,알천파크골프장,경상북도 경주시 구황동 7-1일원,,18홀,경주시시설관리공단,,35.8562,129.2247
5,경주파크골프 1구장,경상북도 경주시 석장동 1175-11일원,,18홀,경주시시설관리공단,,35.8423,129.2345
6,경주파크골프 2구장,경상북도 경주시 석장동 1211-10 일원,,18홀,경주시시설관리공단,,35.8445,129.2367
7,서경주파크골프장,경상북도 경주시 건천읍 천포리 1139일원,,9홀,경주시,,35.7834,129.1456
8,남경주파크골프장,경상북도 경주시 외동읍 입실리 207일원,,9홀,경주시,,35.7923,129.2678
9,동경주파크골프장,경상북도 경주시 양남면 나아리 958,,36홀,월성원자력본부,,35.7645,129.3456
10,김천파크골프장,경상북도 김천시 지좌동 140-1일원,,27홀,김천시,,36.1394,128.1137
11,용상파크골프장,경상북도 안동시 용상동 1553-1,,9홀,안동시,,36.5684,128.7294
12,강남파크골프장,경상북도 안동시 정상동 779,,36홀,안동시,,36.5734,128.7345
13,안동댐파크골프장,경상북도 안동시 성곡동 213,,18홀,안동시,,36.5623,128.7123
14,옥동파크골프장,경상북도 안동시 옥동 1381-15,,18홀,안동시,,36.5789,128.7456
15,동락파크골프장,경상북도 구미시 진평동 947-31번지 일원,,36홀,구미시,,36.1194,128.3444
16,도개파크골프장,경상북도 구미시 도개면 궁기리 829-1번지 일원,,36홀,구미시,,36.0845,128.2678
17,구미파크골프장,경상북도 구미시 고아읍 괴평리 1123번지 일원,,63홀,구미시,,36.0923,128.2834
18,해평파크골프장,경상북도 구미시 해평면 낙산리 1095-34번지 일원,,18홀,구미시,,36.1234,128.3567
19,양포파크골프장,경상북도 구미시 양호동 607-2번지 일원,,18홀,구미시,,36.1156,128.3389
