연번,시설명,위치,규모,홀수,개장일,운영기관,latitude,longitude
1,여의도한강 파크골프장,여의도 한강시민공원 내 (영등포구 여의도동 8),"7,700㎡",15홀,2005-03-31,한강사업 본부,37.5275,126.9326
2,월드컵공원 파크골프장,상암동 노을공원 내 (마포구 상암동 478-1),"22,000㎡",18홀,2010-05-31,서부공원 여가센터,37.5651,126.8951
3,서남물재생센터 파크골프장,서남물재생센터 내 (강서구 양천로 201),"12,210㎡",9홀,2011-09-30,㈜서남환경,37.5345,126.8234
4,잠실운동장 파크골프장,잠실종합운동장 내 (송파구 잠실동 10-2),"15,000㎡",9홀,2013-05-31,체육시설 관리사업소,37.5145,127.0723
5,중랑천 파크골프장,월계동 중랑천 내 (노원구 월계동 230-10),"7,347㎡",9홀,2015-07-31,노원구,37.6234,127.0587
6,안양천 파크골프장 (양천),목동 안양천 내 (양천구 목동 411),"18,000㎡",18홀,2018-05-31,양천구,37.5262,126.8745
7,안양천 파크골프장 (구로①),신도립동 안양천 내 (구로구 신도림동 271-64),"9,000㎡",9홀,2018-07-31,구로구,37.5145,126.8923
8,안양천 파크골프장 (금천),금천교 ~ 철산교 사이,"14,000㎡",18홀,2019-12-31,금천구,37.4567,126.9012
9,안양천 파크골프장 (영등포),양화동 4-1 일대 안양천변 (양평교~갈대3구장),"15,000㎡",18홀,2019-12-31,영등포,37.5234,126.8934
10,안양천 파크골프장 (구로②),고척교~양천구 경계구간,"6,500㎡",18홀,2020-12-31,구로구,37.5034,126.8834
11,중랑천 파크골프장 (동대문구),장안동 204-5일원 중랑천,"6,125㎡",9홀,2021-05-31,동대문구,37.5834,127.0456
12,중랑천 파크골프장 (광진구),중곡동 455-9  중랑천체육공원 (군자교~삼족오육교),"7,700㎡",9홀,2021-10-31,광진구,37.5567,127.0834
