연번,시설명,위치,규모,홀수,개장일,운영기관,latitude,longitude
1,목포 실내체육관 파크골프장,전라남도 목포시 상동 349-1,-,18홀,-,목포시,34.8118,126.3922
2,부주산 국제파크골프장,전라남도 목포시 부주로 159,-,36홀,-,목포시,34.8143,126.3845
3,남해 파크골프장,전라남도 목포시 연산동 864,-,9홀,-,목포시,34.7934,126.3789
4,서해 파크골프장,전라남도 목포시 연산동 825-2,-,18홀,-,목포시,34.7934,126.3789
5,상동 파크골프장,전라남도 목포시 상동 699-12,-,18홀,-,목포시,34.8118,126.3922
6,삼학도 파크골프장,전라남도 목포시 산정동 1481,-,9홀,-,목포시,34.7812,126.4123
7,북항 파크골프장,전라남도 목포시 연산동 1230,-,9홀,-,목포시,34.7934,126.3789
8,율촌 장도 파크골프장,전라남도 여수시 율촌면 여동리 390,-,18홀,-,여수시,34.7604,127.6626
9,상사 파크골프장,전라남도 순천시 상사면 응령리 678-7,-,18홀,-,순천시,35.0045,127.4892
10,혁신도시 파크골프장,전라남도 나주시 빛가람동 4-346,-,9홀,-,나주시,35.0280,126.8021
11,영산포체육공원 파크골프장,전라남도 나주시 삼영동 131-1,-,18홀,-,나주시,35.0149,126.7239
12,송월동 파크골프장,전라남도 나주시 성북동 100,-,9홀,-,나주시,35.0149,126.7239
13,광양 섬진강둔치파크골프장,전라남도 광양시 진월면 월길리 2,-,18홀,-,광양시,35.1395,127.5956
14,백진공원 파크골프장,전라남도 담양군 담양읍 양각리 348,-,36홀,-,담양군,35.3214,126.9881
15,곡성 동악파크골프장,전라남도 곡성군 곡성읍 교촌리 47,-,18홀,-,곡성군,35.2818,127.2913
16,오곡 파크골프장,전라남도 곡성군 오곡면 오지리 1444-1,-,9홀,-,곡성군,35.2345,127.3123
17,구례 파크골프장,전라남도 구례군 서시천로 106,-,9홀,-,구례군,35.2026,127.4630
18,복내 파크골프장,전라남도 보성군 복내리 536-16,-,18홀,-,보성군,34.7712,127.0804
19,보성 파크골프장,전라남도 보성군 보성읍 용문길 36-16,-,9홀,-,보성군,34.7712,127.0804
20,능주 파크골프장,전라남도 화순군 능주면 관영리 148,-,18홀,-,화순군,35.0578,126.9656
21,화순 홍수조절지 파크골프장,전라남도 화순군 청풍면 풍암리 93-9,-,87홀,-,화순군,35.0578,126.9656
22,관산 파크골프장,전라남도 장흥군 관산읍 옥당리 535-16,-,9홀,-,장흥군,34.5410,126.9060
23,탐진강 파크골프장,전라남도 장흥군 장흥읍 행원리 1108-5,-,18홀,-,장흥군,34.6814,126.9060
24,강진 파크골프장,전라남도 강진군 해안관광로 1365,-,9홀,-,강진군,34.6402,126.7672
25,삼산 파크골프장,전라남도 해남군 삼산면 봉학리 154-7,-,18홀,-,해남군,34.5734,126.5990
26,산이 파크골프장,전라남도 해남군 산이면 초두길 10-14,-,18홀,-,해남군,34.4234,126.5123
27,송지 파크골프장,전라남도 해남군 송지면 산정리 472-5,-,18홀,-,해남군,34.5123,126.6234
28,삼호 파크골프장,전라남도 영암군 삼호읍 종합공원길 11,-,36홀,-,영암군,34.8007,126.6965
29,시종 파크골프장,전라남도 영암군 시종면 남해당로 65,-,18홀,-,영암군,34.8434,126.6234
30,영암 파크골프장,전라남도 영암군 영암읍 영운재로 272,-,18홀,-,영암군,34.8007,126.6965
31,무안 파크골프장,전라남도 무안군 무안읍 성동리 1086-3,-,18홀,-,무안군,34.9906,126.4818
32,남악 파크골프장,전라남도 무안군 심향읍 남악리 2597,-,18홀,-,무안군,34.9123,126.4567
33,함평 파크골프장,전라남도 함평군 함평읍 곤재로 83,-,36홀,-,함평군,35.0661,126.5168
34,한빛원자력 파크골프장,전라남도 영광군 홍농읍 성산리 494,-,36홀,-,영광군,35.4141,126.5042
35,불갑 파크골프장,전라남도 영광군 불갑면 방마리 483-5,-,18홀,-,영광군,35.2789,126.4123
36,장성 파크골프장,전라남도 장성군 황룡면 월평리 590-1,-,18홀,-,장성군,35.3013,126.7864
37,고금테마공원파크골프장,전라남도 완도군 고금면 농산리 759-1,-,9홀,-,완도군,34.2676,126.7700
38,운림 삼별초공원 파크골프장,전라남도 진도군 의신면 사천길 15-21,-,18홀,-,진도군,34.4867,126.2639
