연번,시설명,위치,규모,홀수,개장일,운영기관,latitude,longitude
1,온고을 파크골프장,전북특별자치도 전주시 덕진구 화전동 969 일원(삼례교 하부),"21,352㎡",36홀,2019,전주시,35.8242,127.1489
2,마전 파크골프장,전북특별자치도 전주시 완산구 서신동 738-7 일원,"9,501㎡",18홀,2018,전주시,35.8042,127.1289
3,군산 파크골프장,전북특별자치도 군산시 수송동 851,"10,800㎡",18홀,2007,군산시,35.9676,126.7370
4,만경강 목천지구 파크골프장,전북특별자치도 익산시 오산면 목천리 967-1,"50,000㎡",18홀,2021,익산시,35.9342,127.0889
5,북부권 어울림 파크골프장,전북특별자치도 익산시 용안면 칠목리 152-2,"22,786㎡",18홀,2023,익산시,35.9876,127.0234
6,신태인 파크골프장,전북특별자치도 정읍시 신태인읍 신용리 881,"120,100㎡",36홀,2021,정읍시,35.7622,126.8934
7,춘향골 파크골프장,전북특별자치도 남원시 춘향골 체육공원내,"20,000㎡",18홀,2010,남원시,35.4164,127.3903
8,남원 그린파크골프장,전북특별자치도 남원시 주생면 중동리 1009-43,"18,000㎡",18홀,2024,남원시,35.3789,127.4234
9,청하 파크골프장,전북특별자치도 김제시 청하면 강변로151 근처,"25,000㎡",18홀,2021,김제시,35.8034,126.8789
10,삼례 수도산 공원 파크골프장,전북특별자치도 완주군 삼례읍 후정리 112 내,"7,389㎡",18홀,2019,완주군,35.9023,127.0956
11,봉동 생강골 공원 파크골프장,전북특별자치도 완주군 봉동읍 낙평리 795,"12,852㎡",36홀,2013,완주군,35.8456,127.1234
12,이서 지사울공원 파크골프장,전북특별자치도 완주군 이서면 용서리 777-2,"3,300㎡",9홀,2017,완주군,35.7889,127.0567
13,이서 설화공원 파크골프장,전북특별자치도 완주군 이서면 농생명로 100,"9,510㎡",18홀,2020,완주군,35.7889,127.0567
14,고산 만경강 수변생태공원 파크골프장,전북특별자치도 완주군 고산면 읍내리 902,"6,650㎡",18홀,2019,완주군,35.7234,127.1456
15,삼례 금와습지 파크골프장,전북특별자치도 완주군 삼례읍 후정리142-1,"9,840㎡",9홀,2016,완주군,35.9023,127.0956
16,둔산공원 파크골프장,전북특별자치도 완주군 봉동읍 둔산리 881,"14,700㎡",18홀,2009,완주군,35.8456,127.1234
17,비봉생활체육공원 파크골프장,전북특별자치도 완주군 비봉면 소농리 454,"34,043㎡",18홀,2018,완주군,35.7123,127.0789
18,상관생태공원 파크골프장,전북특별자치도 완주군 상관면 신리 916,"21,500㎡",18홀,2014,완주군,35.6789,127.1123
19,진안군 파크골프장,전북특별자치도 진안군 진안읍 운산리 76,"24,000㎡",27홀,2016,진안군,35.7918,127.4243
20,부귀 파크골프장,전북특별자치도 진안군 부귀면 두남리 731,"8,990㎡",9홀,2023,진안군,35.7234,127.3456
21,안천 파크골프장,전북특별자치도 진안군 안천면 신괴리 1042-10,"7,400㎡",9홀,2024,진안군,35.6789,127.4789
22,동향 파크골프장,전북특별자치도 진안군 동향면 능금리 2198-2,"4,900㎡",9홀,2024,진안군,35.6234,127.5123
23,임실 의견 파크골프장,전북특별자치도 임실군 오수면 오수리 3,"43,350㎡",27홀,2023,임실군,35.6178,127.2894
24,유등 파크골프장,전북특별자치도 순창군 유등면 외이리 555-2,"4,265㎡",9홀,2019,순창군,35.3789,127.1345
25,순창 섬진강 체육공원 파크골프장,전북특별자치도 순창군 유등면 오교리 524-1,"17,164㎡",18홀,2024,순창군,35.3789,127.1345
26,스포츠타운 파크골프장,전북특별자치도 고창군 고창읍 월암리 407-2,"72,945㎡",18홀,2023,고창군,35.4349,126.7019
27,고수 주민체육 체험시설 파크골프장,전북특별자치도 고창군 고수면 상평리 321,"14,362㎡",9홀,2022,고창군,35.3456,126.6234
28,상하 체육테마공원 파크골프장,전북특별자치도 고창군 상하면 선운대로 810,"15,921㎡",9홀,2020,고창군,35.2789,126.5678
29,부안 파크골프장,전북특별자치도 부안군 줄포면 우포리 516-1,"6,000㎡",9홀,2014,부안군,35.6340,126.5343
